grain,size
55658,46
55660,38
55663,4445
55664,339
55666,66
55667,526
55670,21
55674,18
55675,69
55676,30
55678,80
55680,5
55682,1
55685,146
55686,45
55687,1
55688,1132
55689,377
55690,1
55691,40
55692,81
55696,2386
55697,550
55700,4
55703,311
55707,375
55710,1209
55712,2
55713,2
55715,1
55716,4
55720,13
55721,153
55724,4
55726,12
55727,1
55729,74
55732,113
55735,59
55737,8
55739,805
55740,667
55742,1052
55743,34
55744,795
55745,15
55748,506
55752,2
55756,2
55758,152
55761,1918
55764,39
55765,8
55766,8
55770,14
55772,3
55774,4
55777,1
55780,2
55782,21
55788,50
55790,950
55793,1
55795,1
55796,1121
55797,101
55798,234
55800,17
55803,572
55804,2
55805,93
55807,1
55808,7
55810,39
55811,214
55813,9
55816,1406
55818,4
55819,2
55820,62
55821,3
55824,40
55826,289
55827,47
55830,40
55831,29
55833,684
55835,170
55838,4
55839,23
55840,87
55844,2330
55853,148
55854,86
55855,775
55856,25
55858,47
55860,2
55861,2407
55862,221
55863,1
55865,334
55866,10
55867,3
55870,95
55874,18
55877,697
55880,143
55884,10
55886,508
55887,193
55889,3635
55890,25
55891,2
55892,2
55894,2
55897,2
55902,35
55905,850
55906,6
55908,1
55911,41
55912,1
55918,32
55920,1
55921,1
55923,6063
55925,131
55929,313
55931,226
55933,135
55935,1
55937,2595
55940,2
55941,315
55943,32
55944,1
55945,149
55948,990
55950,36
55953,121
55955,99
55959,13
55961,125
55962,282
55963,716
55964,11
55966,30
55967,2
55969,20
55971,6
55973,1225
55977,2
55979,29
55980,21
55981,101
55982,9
55984,342
55987,4
55988,1477
55989,1
55995,24
55999,21
56000,30
56001,36
56004,1
56006,21
56007,11
56008,102
56012,226
56014,60
56019,74
56020,1
56023,10
56027,9
56028,47
56030,6
56031,10
56033,2473
56034,4
56035,22
56039,1
56040,1024
56041,1
56046,5
56050,15
56053,1
56054,31
56058,95
56059,11
56063,1
56064,15
56066,931
56068,60
56071,9
56074,429
56076,18
56077,99
56078,226
56081,1351
56082,495
56083,5
56084,4441
56085,14
56088,40
56090,285
56094,1
56095,171
56097,50
56100,7
56101,1
56102,24
56105,20
56106,25
56110,39
56113,372
56114,15
56115,15
56117,2
56118,121
56120,303
56122,4859
56124,7
56125,88
56129,2
56131,45
56133,71
56137,80
56141,1
56142,1
56143,2013
56144,24
56145,15
56146,1
56147,11
56153,6
56154,1134
56155,12
56157,1
56163,1
56170,1
56173,119
56174,12
56177,422
56178,1
56179,764
56182,1
56183,57
56186,16
56187,5
56188,8
56191,1
56192,8372
56194,3
56195,241
56197,4
56199,323
56203,30
56205,3
56208,95
56209,366
56210,4226
56215,1
56217,1
56220,480
56221,1
56222,1
56225,1
56227,1027
