grain,size,duration,unique_sites,max_radius
51842,1,1,1,0
51846,15,8,15,7
51851,139,37,129,19
51853,757,140,421,23
51855,13,8,13,6
51858,1,1,1,0
51862,1096,102,676,29
51866,872,119,767,60
51869,202,56,202,37
51874,431,94,431,36
51876,3262,167,1431,46
51877,1,1,1,0
51878,581,91,432,30
51879,9,5,9,3
51880,6,6,6,2
51881,154,37,152,14
51884,386,59,335,31
51890,50,19,50,11
51891,163,31,148,15
51893,49,16,43,8
51895,1,1,1,0
51898,75,17,53,9
51900,459,74,459,41
51902,544,95,487,43
51907,3,2,3,1
51908,51,12,50,8
51910,1,1,1,0
51913,30,13,30,8
51915,59,16,51,10
51916,20,14,20,5
51917,696,84,696,52
51919,64,14,51,9
51921,14,9,14,6
51923,43,21,43,13
51925,118,27,91,15
51928,142,36,137,20
51933,2469,145,1774,76
51935,3,2,3,1
51938,3,3,3,2
51939,1,1,1,0
51943,56,22,56,14
51944,844,172,797,56
51945,550,90,550,46
51947,74,20,59,9
51949,2,2,2,1
51952,11,7,11,4
51954,1,1,1,0
51956,228,40,206,25
51957,3,2,3,1
51960,1,1,1,0
51961,5,4,5,3
51965,6,4,6,3
51966,297,64,297,35
51969,2,2,2,1
51971,1030,119,1029,53
51972,542,73,441,31
51975,45,22,44,14
51977,108,34,99,15
51979,44,14,30,6
51981,49,21,46,8
51982,60,14,57,9
51983,345,51,345,41
51987,1278,144,1278,79
51988,76,13,76,10
51990,57,18,57,13
51992,1348,157,1348,55
51997,415,65,415,43
51999,151,38,126,14
52001,32,14,32,13
52002,23,10,19,5
52003,117,23,117,16
52004,144,43,138,27
52020,164,28,131,18
52021,2089,214,1484,51
52022,213,59,213,17
52024,164,43,131,16
52025,253,43,253,32
52026,37,13,31,8
52028,6,4,6,3
52029,2,2,2,1
52034,3,3,3,2
52036,40,13,37,8
52039,6,5,6,4
52040,64,21,64,14
52041,1229,90,1229,47
52044,1,1,1,0
52045,1212,145,1212,62
52046,3165,161,1869,66
52048,7,5,7,3
52051,3,2,3,1
52052,276,72,198,19
52053,34,15,30,6
52054,525,73,491,28
52056,1286,130,1286,65
52058,1,1,1,0
52061,886,116,866,35
52062,6,4,6,3
52067,1,1,1,0
52071,2,2,2,1
52073,149,39,149,20
52076,15,5,15,4
52079,1,1,1,0
52080,1684,109,935,49
52085,20,9,19,6
52090,3797,211,1519,56
52093,1453,167,1451,77
52094,29,14,29,12
52096,277,61,195,24
52097,1,1,1,0
52099,24,10,24,6
52100,1911,178,1162,57
52104,3,2,3,1
52105,4,3,4,2
52106,7,4,7,3
52107,485,64,485,37
52108,11,8,11,5
52110,1010,142,863,45
52114,16,8,16,5
52115,443,78,443,46
52119,317,58,308,24
52120,6,4,6,3
52123,2,2,2,1
52124,5,4,5,3
52125,383,75,353,27
52128,21,8,21,7
52131,58,15,58,12
52132,19,12,19,6
52134,2261,318,1581,66
52135,25,12,25,8
52136,14,11,14,7
52137,4,4,4,3
52138,919,114,744,50
52140,12,11,11,3
52146,15,12,15,8
52149,6,4,6,3
52151,3,3,3,2
52153,1,1,1,0
52156,40,18,40,15
52160,1,1,1,0
52163,31,12,28,8
52165,1,1,1,0
52166,1,1,1,0
52171,900,99,900,46
52173,4,4,4,3
52175,1,1,1,0
52176,370,51,207,16
52178,10,5,10,4
52180,2,2,2,1
52182,207,44,207,20
52183,1567,134,1316,63
52185,333,46,295,26
52186,6,3,6,2
52188,980,76,715,32
52190,1,1,1,0
52191,1382,133,1366,51
52192,243,47,230,32
52194,465,79,390,34
52196,10,9,10,6
52198,1667,129,1358,59
52199,8,8,8,5
52207,13,6,13,5
52208,1046,109,1046,65
52209,1088,125,1017,54
52211,3,3,3,2
52212,50,23,45,10
52213,1,1,1,0
52215,1,1,1,0
52216,6,4,6,3
52217,645,92,645,45
52219,2,2,2,1
52221,293,50,240,22
52222,5,5,5,4
52223,3,3,3,2
52228,2,2,2,1
52233,205,34,139,14
52234,4,3,4,2
52236,1136,77,524,38
52244,58,13,58,10
52246,1032,126,1032,63
52247,214,39,214,26
52254,1,1,1,0
52257,115,39,115,17
52258,140,32,129,14
52263,21,12,21,9
52264,5,5,5,2
52267,2,2,2,1
52268,5,5,5,4
52269,11,6,11,3
52270,3,3,3,2
52272,241,64,207,18
52273,1,1,1,0
52275,33,14,33,10
52277,113,43,113,29
52283,28,16,28,7
52284,1,1,1,0
52285,20,8,20,5
52289,1,1,1,0
52295,1725,196,1646,91
52297,987,126,987,67
52298,16,10,16,7
52301,47,22,47,13
52303,232,37,158,17
52304,64,26,56,7
52306,10,6,10,4
52311,128,41,111,16
52312,1535,199,1535,84
52313,65,20,54,9
52315,627,102,627,36
52319,657,83,357,23
52322,80,25,77,14
52324,9787,301,3019,66
52327,4007,182,1439,44
52330,73,31,70,16
52336,130,35,130,21
52338,179,39,179,18
52339,63,20,57,15
52340,1,1,1,0
52342,525,83,383,31
52345,2,2,2,1
52348,3,3,3,2
52349,41,10,41,8
52350,3,2,3,1
52352,1295,145,1018,54
52353,190,66,190,26
52354,1,1,1,0
52357,193,52,150,26
52360,241,46,239,24
52364,1695,138,1594,58
52366,854,114,854,59
52367,2171,221,1687,70
52371,120,39,109,14
52373,1537,185,1484,52
52374,148,27,111,14
52375,8,5,8,4
52377,21,12,21,8
52379,269,56,252,27
52380,175,26,132,12
52381,19,10,19,6
52383,1,1,1,0
52384,546,86,462,31
52388,43,17,43,10
52391,3,3,3,2
52395,9,5,9,4
52398,2,2,2,1
52405,156,31,156,16
52410,747,78,520,31
52412,10,8,10,7
52413,1,1,1,0
52417,17,10,17,6
52420,7,6,7,4
52424,9,8,9,5
52428,5,4,5,3
52429,1,1,1,0
52430,2,2,2,1
52432,2,2,2,1
52433,1,1,1,0
52435,61,19,51,8
52436,83,20,80,13
52437,1,1,1,0
52440,3096,166,1760,67
52443,322,51,312,32
52445,89,44,89,21
52446,1,1,1,0
52447,2,2,2,1
52448,323,62,301,31
52450,1,1,1,0
52453,1,1,1,0
52455,949,122,904,44
52456,24,16,24,7
52457,193,47,188,24
52458,5,4,5,3
52459,1,1,1,0
52460,24,10,24,7
52461,2,2,2,1
52465,988,121,605,46
52467,12,6,12,4
52470,11,5,11,4
52472,126,34,123,20
52480,1,1,1,0
52481,279,77,275,34
52485,2,2,2,1
52486,4,4,4,3
52489,1,1,1,0
52492,29,15,29,10
52493,103,26,103,12
52496,3,3,3,2
52498,182,40,182,23
52500,1165,99,694,33
52502,4,3,4,2
52504,20,10,20,7
52506,244,63,244,29
52508,36,9,28,7
52510,255,58,255,33
52511,6,5,6,4
52514,44,19,31,6
52516,1,1,1,0
52518,1402,147,1401,65
52520,30,10,23,5
52523,205,44,205,32
52525,5,4,5,3
52526,146,23,118,13
52529,7,5,7,4
52530,150,46,150,17
52533,182,45,182,24
52537,1,1,1,0
52538,7,4,7,3
52540,3,3,3,2
52541,546,71,546,40
52543,129,35,129,22
52544,1,1,1,0
52545,272,51,241,24
52551,2,2,2,1
52552,7202,262,2512,59
52553,1,1,1,0
52556,2,2,2,1
52557,5,4,5,3
52560,1,1,1,0
52563,2,2,2,1
52564,1,1,1,0
52565,3,3,3,2
52566,119,33,119,17
52567,1,1,1,0
52571,42,19,42,12
52572,6,6,6,4
52574,3,3,3,2
52578,139,38,135,17
52581,2391,147,1681,65
52582,868,127,868,68
52583,1,1,1,0
52584,89,25,89,17
52587,13,8,13,7
52593,47,16,47,11
52594,29,10,26,9
52595,5,4,5,3
52596,697,80,459,30
52600,7,6,7,4
52604,7,6,7,5
52607,5,3,5,2
52609,39,12,39,8
52615,453,85,453,52
52618,181,41,159,22
52621,23,10,23,6
52622,118,43,115,14
52623,3,3,3,2
52624,35,15,33,8
52625,57,20,57,12
52626,1,1,1,0
52629,6,4,6,2
52630,7128,360,2951,72
52632,82,31,82,13
52635,150,54,150,22
52636,25,19,25,16
52637,28,10,28,7
52640,733,147,733,56
52642,13,10,13,7
52645,8,4,8,3
52646,343,61,301,24
52651,34,12,30,6
52652,273,59,273,30
52655,1,1,1,0
52662,2,2,2,1
52663,33,19,33,9
52664,904,98,637,49
52667,2,2,2,1
52670,13,8,13,4
52671,12,6,12,5
52675,139,42,138,18
52678,66,21,66,15
52679,15,8,15,5
52680,16,10,16,7
52681,773,81,440,38
52684,1068,138,1027,62
52685,426,55,426,33
52686,2699,214,1537,56
52688,19,9,19,5
52689,980,126,952,64
52691,311,55,245,25
52692,256,42,196,20
52695,197,45,193,24
52696,2,2,2,1
52697,7,6,7,3
52701,22,8,22,5
52702,72,19,72,12
52705,3,3,3,2
52706,1,1,1,0
52707,160,51,160,26
52708,3,3,3,2
52709,9,6,9,4
52710,142,38,132,14
52711,344,66,344,37
52714,18,8,18,6
